graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,2.5,4032,70.590717
n16_graph0,16,0.0,2.5,4961,70.593340
n16_graph0,16,0.0,2.5,6106,70.591485
n16_graph0,16,0.0,2.5,7514,70.586171
n16_graph0,16,0.0,2.5,9247,70.585997
n16_graph0,16,0.0,2.5,11380,70.582860
n16_graph0,16,0.0,2.5,14005,70.586888
n16_graph0,16,0.0,2.5,17235,70.078910
n16_graph0,16,0.0,2.5,21211,70.058820
n16_graph0,16,0.0,2.5,26103,70.060198
n16_graph0,16,0.0,2.5,32124,69.509334
n16_graph0,16,0.0,2.5,39534,69.514408
n16_graph0,16,0.0,2.5,48653,68.961796
n16_graph0,16,0.0,2.5,59875,68.362505
n16_graph0,16,0.0,2.5,73685,67.752975
n16_graph0,16,0.0,2.5,90681,67.136405
n16_graph0,16,0.0,2.5,111597,65.827328
n16_graph0,16,0.0,2.5,137338,64.365734
n16_graph0,16,0.0,2.5,169016,62.698715
n16_graph0,16,0.0,2.5,208000,60.382346
n16_graph0,16,0.0,5.0,1,131.090355
n16_graph0,16,0.0,5.0,2,131.090355
n16_graph0,16,0.0,5.0,3,131.090355
n16_graph0,16,0.0,5.0,4,131.090355
n16_graph0,16,0.0,5.0,5,131.090355
n16_graph0,16,0.0,5.0,6,131.090355
n16_graph0,16,0.0,5.0,8,131.090355
n16_graph0,16,0.0,5.0,10,131.090355
n16_graph0,16,0.0,5.0,12,131.090355
n16_graph0,16,0.0,5.0,15,131.090355
n16_graph0,16,0.0,5.0,18,131.090355
n16_graph0,16,0.0,5.0,22,131.090355
n16_graph0,16,0.0,5.0,28,131.090355
n16_graph0,16,0.0,5.0,34,131.090355
n16_graph0,16,0.0,5.0,42,131.090355
n16_graph0,16,0.0,5.0,52,131.090355
n16_graph0,16,0.0,5.0,63,131.090355
n16_graph0,16,0.0,5.0,78,131.090355
n16_graph0,16,0.0,5.0,96,131.090355
n16_graph0,16,0.0,5.0,118,131.090355
n16_graph0,16,0.0,5.0,146,131.090355
n16_graph0,16,0.0,5.0,179,131.090355
n16_graph0,16,0.0,5.0,221,131.090355
n16_graph0,16,0.0,5.0,271,131.090355
n16_graph0,16,0.0,5.0,334,131.090355
n16_graph0,16,0.0,5.0,411,131.090355
n16_graph0,16,0.0,5.0,506,131.090355
