graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.1,1.8,1,10000,14,3000,182000,46.081085,0.2065
n16_graph0,16,0.1,1.8,4,100,53,3000,164300,46.435587,0.1663
n16_graph0,16,0.1,1.8,4,300,53,3000,174900,46.164561,0.1875
n16_graph0,16,0.1,1.8,4,1000,53,3000,212000,46.258996,0.2105
n16_graph0,16,0.1,1.8,4,3000,53,3000,318000,46.039545,0.3013
n16_graph0,16,0.1,1.8,4,10000,53,3000,689000,46.071276,0.7858
n16_graph0,16,0.1,1.8,20,100,264,3000,818400,46.181344,0.7681
n16_graph0,16,0.1,1.8,20,300,264,3000,871200,46.157861,0.8327
n16_graph0,16,0.1,1.8,20,1000,264,3000,1056000,46.028668,1.0583
n16_graph0,16,0.1,1.8,20,3000,264,3000,1584000,46.104289,1.7024
n16_graph0,16,0.1,1.8,20,10000,264,3000,3432000,46.075032,3.8384
n16_graph0,16,0.1,2.5,1,100,13,3000,40300,64.153039,0.0402
n16_graph0,16,0.1,2.5,1,300,13,3000,42900,63.940801,0.0414
n16_graph0,16,0.1,2.5,1,1000,13,3000,52000,63.911921,0.0516
n16_graph0,16,0.1,2.5,1,3000,13,3000,78000,64.192894,0.0854
n16_graph0,16,0.1,2.5,1,10000,13,3000,169000,63.960520,0.1911
n16_graph0,16,0.1,2.5,4,100,49,3000,151900,64.044621,0.1336
n16_graph0,16,0.1,2.5,4,300,49,3000,161700,64.169412,0.1443
n16_graph0,16,0.1,2.5,4,1000,49,3000,196000,63.885810,0.1990
n16_graph0,16,0.1,2.5,4,3000,49,3000,294000,64.004867,0.3162
n16_graph0,16,0.1,2.5,4,10000,49,3000,637000,64.015752,0.7191
n16_graph0,16,0.1,2.5,20,100,242,3000,750200,64.227465,0.7383
n16_graph0,16,0.1,2.5,20,300,242,3000,798600,64.211407,0.7708
n16_graph0,16,0.1,2.5,20,1000,242,3000,968000,63.947559,0.9315
n16_graph0,16,0.1,2.5,20,3000,242,3000,1452000,63.991276,1.5258
n16_graph0,16,0.1,2.5,20,10000,242,3000,3146000,63.997687,3.4020
n16_graph0,16,0.1,5.0,1,100,9,3000,27900,128.039249,0.0297
n16_graph0,16,0.1,5.0,1,300,9,3000,29700,127.732631,0.0325
n16_graph0,16,0.1,5.0,1,1000,9,3000,36000,127.960375,0.0376
n16_graph0,16,0.1,5.0,1,3000,9,3000,54000,127.998334,0.0604
n16_graph0,16,0.1,5.0,1,10000,9,3000,117000,128.028491,0.1337
n16_graph0,16,0.1,5.0,4,100,35,3000,108500,127.981458,0.1136
n16_graph0,16,0.1,5.0,4,300,35,3000,115500,128.082700,0.1116
n16_graph0,16,0.1,5.0,4,1000,35,3000,140000,128.035214,0.1446
